Fiscal Year Released,Recidivism Reporting Year,Race - Ethnicity,Sex,Age At Release ,Convicting Offense Classification,Convicting Offense Type,Convicting Offense Subtype,Release Type,Main Supervising District,Recidivism - Return to Prison,Recidivism Type,Days to Recidivism,New Conviction Offense Classification,New Conviction Offense Type,New Conviction Offense Sub Type,Part of Target Population,Sort Number,Initial Supervision Status,Recidivism Supervision Status
2010,2013,White - Non-Hispanic,,Under 25,D Felony,Violent,Assault,Parole,4JD,Yes,Parole,16,,,,Yes,,,
2010,2013,White - Non-Hispanic,,55 and Older,D Felony,Public Order,OWI,Parole,7JD,Yes,Parole,19,,,,Yes,,,
2010,2013,White - Non-Hispanic,,25-34,D Felony,Property,Burglary,Parole,5JD,Yes,Parole,22,,,,Yes,,,
2010,2013,White - Non-Hispanic,,55 and Older,C Felony,Drug,Trafficking,Parole,8JD,Yes,Parole,25,,,,Yes,,,
2010,2013,Black - Non-Hispanic,,25-34,D Felony,Drug,Trafficking,Parole,3JD,Yes,Parole,26,,,,Yes,,,
2010,2013,White - Non-Hispanic,,Under 25,D Felony,Property,Burglary,Discharged – End of Sentence,,Yes,Discharged – End of Sentence,27,,,,No,,,
2010,2013,White - Non-Hispanic,,45-54,Aggravated Misdemeanor,Public Order,Sex Offender Registry/Residency,Parole,3JD,Yes,Parole,28,D Felony,Property,Theft,Yes,,,
2010,2013,White - Non-Hispanic,,45-54,D Felony,Property,Burglary,Parole,1JD,Yes,Parole,41,,,,Yes,,,
2010,2013,White - Non-Hispanic,,45-54,Aggravated Misdemeanor,Violent,Other Violent,Parole,5JD,Yes,Parole,44,,,,Yes,,,
2010,2013,White - Non-Hispanic,,45-54,C Felony,Violent,Robbery,Parole,8JD,Yes,Parole,46,,,,Yes,,,
2010,2013,White - Non-Hispanic,,35-44,Aggravated Misdemeanor,Property,Theft,Parole,4JD,Yes,Parole,48,,,,Yes,,,
2010,2013,White - Non-Hispanic,,45-54,D Felony,Public Order,OWI,Parole,3JD,Yes,Parole,49,,,,Yes,,,
2010,2013,White - Non-Hispanic,,Under 25,Aggravated Misdemeanor,Property,Theft,Discharged – End of Sentence,,Yes,Discharged – End of Sentence,49,C Felony,Property,Theft,No,,,
2010,2013,White - Non-Hispanic,,25-34,C Felony,Drug,Trafficking,Discharged – End of Sentence,,Yes,Discharged – End of Sentence,51,,,,No,,,
2010,2013,Black - Non-Hispanic,,45-54,D Felony,Violent,Sex,Special Sentence,8JD,Yes,Special Sentence,51,,,,Yes,,,
2010,2013,White - Non-Hispanic,,Under 25,D Felony,Drug,Trafficking,Parole,4JD,Yes,Parole,53,Aggravated Misdemeanor,Public Order,OWI,Yes,,,
2010,2013,White - Non-Hispanic,,25-34,C Felony,Drug,Trafficking,Parole,3JD,Yes,Parole,53,,,,Yes,,,
2010,2013,White - Non-Hispanic,,25-34,D Felony,Property,Theft,Parole,5JD,Yes,Parole,54,,,,Yes,,,
2010,2013,White - Non-Hispanic,,Under 25,Aggravated Misdemeanor,Violent,Sex,Special Sentence,4JD,Yes,Special Sentence,54,,,,Yes,,,
2010,2013,White - Non-Hispanic,,25-34,Felony - Enhanced,Drug,Trafficking,Parole,7JD,Yes,Parole,55,,,,Yes,,,
2010,2013,White - Non-Hispanic,,35-44,D Felony,Property,Forgery/Fraud,Discharged – End of Sentence,,Yes,Discharged – End of Sentence,55,,,,No,,,
2010,2013,American Indian or Alaska Native - Non-Hispanic,,25-34,D Felony,Violent,Assault,Discharged – End of Sentence,,Yes,Discharged – End of Sentence,57,C Felony,Violent,Robbery,No,,,
2010,2013,Black - Non-Hispanic,,45-54,D Felony,Public Order,Sex Offender Registry/Residency,Parole,7JD,Yes,Parole,57,,,,Yes,,,
2010,2013,White - Non-Hispanic,,Under 25,D Felony,Property,Vandalism,Parole,2JD,Yes,Parole,58,Aggravated Misdemeanor,Public Order,Alcohol,Yes,,,
2010,2013,White - Non-Hispanic,,35-44,C Felony,Drug,Trafficking,Parole,5JD,Yes,Parole,58,,,,Yes,,,
2010,2013,White - Non-Hispanic,,25-34,D Felony,Drug,Other Drug,Parole,3JD,Yes,Parole,60,,,,Yes,,,
2010,2013,White - Non-Hispanic,,35-44,C Felony,Drug,Trafficking,Parole,5JD,Yes,Parole,62,,,,Yes,,,
2010,2013,White - Non-Hispanic,,35-44,D Felony,Drug,Drug Possession,Parole,8JD,Yes,Parole,62,Aggravated Misdemeanor,Violent,Assault,Yes,,,
2010,2013,Black - Non-Hispanic,,45-54,Aggravated Misdemeanor,Property,Theft,Discharged – End of Sentence,,Yes,Discharged – End of Sentence,63,,,,No,,,
2010,2013,White - Non-Hispanic,,25-34,C Felony,Drug,Trafficking,Parole,2JD,Yes,Parole,64,,,,Yes,,,
2010,2013,White - Non-Hispanic,,35-44,D Felony,Violent,Sex,Special Sentence,5JD,Yes,Special Sentence,65,,,,Yes,,,
2010,2013,White - Non-Hispanic,,25-34,D Felony,Property,Forgery/Fraud,Parole,6JD,Yes,Parole,66,,,,Yes,,,
2010,2013,White - Non-Hispanic,,25-34,D Felony,Property,Forgery/Fraud,Parole,7JD,Yes,Parole,66,,,,Yes,,,
2010,2013,White - Hispanic,,25-34,D Felony,Property,Theft,Parole,5JD,Yes,Parole,68,,,,Yes,,,
2010,2013,White - Non-Hispanic,,35-44,D Felony,Property,Forgery/Fraud,Parole,3JD,Yes,Parole,70,,,,Yes,,,
2010,2013,White - Non-Hispanic,,Under 25,D Felony,Violent,Sex,Special Sentence,5JD,Yes,Special Sentence,71,,,,Yes,,,
2010,2013,White - Non-Hispanic,,35-44,D Felony,Drug,Drug Possession,Parole,5JD,Yes,Parole,71,,,,Yes,,,
2010,2013,Black - Non-Hispanic,,Under 25,D Felony,Violent,Sex,Special Sentence,7JD,Yes,Special Sentence,75,,,,Yes,,,
2010,2013,White - Non-Hispanic,,Under 25,D Felony,Drug,Trafficking,Parole,5JD,Yes,Parole,76,,,,Yes,,,
2010,2013,White - Non-Hispanic,,25-34,D Felony,Violent,Sex,Special Sentence,7JD,Yes,Special Sentence,78,,,,Yes,,,
2010,2013,White - Non-Hispanic,,25-34,C Felony,Violent,Other Violent,Parole,5JD,Yes,Parole,79,,,,Yes,,,
2010,2013,White - Non-Hispanic,,25-34,D Felony,Violent,Assault,Parole,5JD,Yes,Parole,80,,,,Yes,,,
2010,2013,White - Non-Hispanic,,25-34,C Felony,Property,Burglary,Parole,5JD,Yes,Parole,80,,,,Yes,,,
2010,2013,White - Non-Hispanic,,45-54,D Felony,Violent,Assault,Parole,6JD,Yes,Parole,80,,,,Yes,,,
2010,2013,White - Non-Hispanic,,Under 25,D Felony,Drug,Trafficking,Parole,5JD,Yes,Parole,83,,,,Yes,,,
2010,2013,White - Non-Hispanic,,45-54,D Felony,Violent,Sex,Special Sentence,3JD,Yes,Special Sentence,83,Aggravated Misdemeanor,Property,Theft,Yes,,,
2010,2013,Black - Non-Hispanic,,35-44,D Felony,Public Order,OWI,Parole,6JD,Yes,Parole,84,,,,Yes,,,
2010,2013,White - Non-Hispanic,,Under 25,D Felony,Property,Theft,Parole,3JD,Yes,Parole,85,,,,Yes,,,
2010,2013,White - Non-Hispanic,,Under 25,Aggravated Misdemeanor,Violent,Sex,Special Sentence,3JD,Yes,Special Sentence,86,,,,Yes,,,
2010,2013,White - Non-Hispanic,,45-54,Aggravated Misdemeanor,Public Order,Alcohol,Discharged – End of Sentence,,Yes,Discharged – End of Sentence,88,Aggravated Misdemeanor,Public Order,Alcohol,No,,,
2010,2013,White - Non-Hispanic,,25-34,D Felony,Violent,Sex,Discharged – End of Sentence,,Yes,Discharged – End of Sentence,89,,,,No,,,
2010,2013,Black - Non-Hispanic,,25-34,Aggravated Misdemeanor,Violent,Assault,Special Sentence,1JD,Yes,Special Sentence,90,,,,Yes,,,
2010,2013,White - Non-Hispanic,,45-54,Aggravated Misdemeanor,Drug,Trafficking,Parole,5JD,Yes,Parole,90,,,,Yes,,,
2010,2013,White - Non-Hispanic,,25-34,C Felony,Violent,Assault,Parole,5JD,Yes,Parole,92,,,,Yes,,,
2010,2013,American Indian or Alaska Native - Non-Hispanic,,Under 25,Aggravated Misdemeanor,Property,Theft,Special Sentence,6JD,Yes,Special Sentence,94,,,,Yes,,,
2010,2013,White - Non-Hispanic,,35-44,Aggravated Misdemeanor,Public Order,Sex Offender Registry/Residency,Discharged – End of Sentence,,Yes,Discharged – End of Sentence,94,Aggravated Misdemeanor,Public Order,Other Public Order,No,,,
2010,2013,White - Non-Hispanic,,25-34,C Felony,Drug,Trafficking,Parole,4JD,Yes,Parole,95,Serious Misdemeanor,Public Order,Flight/Escape,Yes,,,
2010,2013,White - Non-Hispanic,,25-34,C Felony,Drug,Trafficking,Parole,5JD,Yes,Parole,96,D Felony,Public Order,Weapons,Yes,,,
2010,2013,White - Non-Hispanic,,35-44,C Felony,Drug,Trafficking,Parole,3JD,Yes,Parole,98,,,,Yes,,,
2010,2013,White -,,45-54,D Felony,Violent,Assault,Parole,4JD,Yes,Parole,100,,,,Yes,,,
2010,2013,White - Non-Hispanic,,35-44,Aggravated Misdemeanor,Public Order,Alcohol,Discharged – End of Sentence,,Yes,Discharged – End of Sentence,100,Aggravated Misdemeanor,Public Order,Alcohol,No,,,
2010,2013,White - Non-Hispanic,,35-44,C Felony,Property,Arson,Parole,5JD,Yes,Parole,101,C Felony,Property,Arson,Yes,,,
2010,2013,Black - Non-Hispanic,,45-54,Aggravated Misdemeanor,Violent,Assault,Discharged – End of Sentence,,Yes,Discharged – End of Sentence,103,D Felony,Property,Burglary,No,,,
2010,2013,American Indian or Alaska Native - Non-Hispanic,,25-34,D Felony,Violent,Assault,Parole,3JD,Yes,Parole,103,,,,Yes,,,
2010,2013,White - Non-Hispanic,,35-44,D Felony,Public Order,Flight/Escape,Parole,3JD,Yes,Parole,103,,,,Yes,,,
2010,2013,White - Non-Hispanic,,35-44,Aggravated Misdemeanor,Violent,Assault,Parole,5JD,Yes,Parole,105,,,,Yes,,,
2010,2013,White - Non-Hispanic,,45-54,D Felony,Property,Burglary,Parole,4JD,Yes,Parole,108,D Felony,Property,Burglary,Yes,,,
2010,2013,American Indian or Alaska Native - Non-Hispanic,,35-44,C Felony,Property,Burglary,Parole,7JD,Yes,Parole,108,,,,Yes,,,
2010,2013,White - Non-Hispanic,,35-44,D Felony,Drug,Drug Possession,Discharged – End of Sentence,,Yes,Discharged – End of Sentence,109,,,,No,,,
2010,2013,White - Non-Hispanic,,Under 25,Aggravated Misdemeanor,Violent,Assault,Discharged – End of Sentence,,Yes,Discharged – End of Sentence,110,Serious Misdemeanor,Violent,Assault,No,,,
2010,2013,White - Non-Hispanic,,25-34,C Felony,Property,Theft,Parole,7JD,Yes,Parole,110,,,,Yes,,,
2010,2013,White - Non-Hispanic,,Under 25,D Felony,Property,Forgery/Fraud,Parole,5JD,Yes,Parole,112,Aggravated Misdemeanor,Property,Forgery/Fraud,Yes,,,
2010,2013,White - Non-Hispanic,,55 and Older,Aggravated Misdemeanor,Public Order,Traffic,Parole,2JD,Yes,Parole,112,,,,Yes,,,
2010,2013,White - Non-Hispanic,,25-34,D Felony,Violent,Sex,Special Sentence,4JD,Yes,Special Sentence,113,,,,Yes,,,
2010,2013,White - Non-Hispanic,,35-44,C Felony,Drug,Trafficking,Parole,4JD,Yes,Parole,114,,,,Yes,,,
2010,2013,White - Non-Hispanic,,25-34,C Felony,Violent,Sex,Special Sentence,1JD,Yes,Special Sentence,115,,,,Yes,,,
2010,2013,White - Non-Hispanic,,Under 25,D Felony,Property,Burglary,Parole,3JD,Yes,Parole,115,,,,Yes,,,
2010,2013,White - Non-Hispanic,,Under 25,D Felony,Property,Vandalism,Parole,3JD,Yes,Parole,116,,,,Yes,,,
2010,2013,Black - Non-Hispanic,,35-44,D Felony,Violent,Assault,Discharged – End of Sentence,,Yes,Discharged – End of Sentence,116,,,,No,,,
2010,2013,White - Hispanic,,25-34,C Felony,Violent,Sex,Special Sentence,7JD,Yes,Special Sentence,117,,,,Yes,,,
2010,2013,White - Non-Hispanic,,25-34,C Felony,Drug,Trafficking,Parole,2JD,Yes,Parole,119,,,,Yes,,,
